Pop5_Original,Pop10_Original,Pop20_Original,Pop30_Original,Pop40_Original,
1538401,1384857,1433232,1527076,1574724,
1538401,1384857,1433232,1527076,1574724,
1538401,1384857,1433232,1527076,1574724,
1538401,1384857,1433232,1527076,1574724,
1538401,1384857,1433232,1527076,1574724,
1538401,1384857,1433232,1527076,1574724,
1538401,1382190,1433232,1527076,1574724,
1537788,1382134,1433232,1525943,1574724,
1537788,1382134,1433232,1525943,1574724,
1529315,1382134,1433232,1525943,1574724,
1529315,1382134,1433232,1525943,1574724,
1529315,1382134,1428263,1525943,1574724,
1526996,1382134,1428263,1525943,1572331,
1524860,1377719,1428263,1525943,1572331,
1524860,1377719,1428263,1525943,1561142,
1524860,1377663,1425525,1525943,1561142,
1520797,1377663,1425525,1525943,1532451,
1520797,1377663,1425525,1525943,1521262,
1520797,1376806,1425525,1525943,1521262,
1520797,1371339,1425525,1525943,1521262,
1520797,1371339,1425525,1525943,1519581,
1520797,1371339,1425525,1525943,1519581,
1520797,1369773,1408707,1525943,1514963,
1520797,1369773,1408707,1525943,1514963,
1518700,1369773,1408707,1525943,1512677,
1518700,1369773,1408707,1524479,1512503,
1518700,1369773,1408707,1524479,1512503,
1518700,1369773,1408707,1524479,1499245,
1518700,1369773,1408707,1524479,1499245,
1518700,1369773,1404298,1524479,1499245,
1518700,1369773,1404298,1524479,1499245,
1518700,1369773,1404298,1524129,1499245,
1518700,1369773,1404298,1524129,1499245,
1518700,1369773,1404298,1524129,1499245,
1518700,1369773,1404298,1519127,1499245,
1518700,1369773,1400583,1519127,1499245,
1518700,1369773,1400583,1519127,1499245,
1518700,1369773,1400583,1519127,1499245,
1514227,1369773,1400583,1519127,1499245,
1514227,1369773,1400583,1519127,1499245,
1514227,1369773,1399900,1519127,1499245,
1514227,1369773,1399900,1519127,1499245,
1514227,1369773,1399900,1519127,1499245,
1512311,1369773,1399900,1519127,1499245,
1512311,1369425,1395064,1519127,1499245,
1512311,1369425,1395064,1519127,1499245,
1512311,1369425,1395064,1519127,1499245,
1512311,1369425,1395064,1515900,1499245,
1512311,1369425,1395064,1515900,1499245,
1512311,1369425,1395064,1515900,1499245,
1512311,1369425,1395064,1515900,1499245,
1512311,1369425,1395064,1515900,1499245,
1512311,1369425,1395064,1515900,1499245,
1512311,1369425,1394738,1515900,1499245,
1512311,1369425,1394738,1515900,1499245,
1512311,1369425,1392102,1515900,1499245,
1508436,1369425,1392102,1515900,1499245,
1508436,1369425,1392102,1515900,1493383,
1491909,1366912,1392102,1515900,1493383,
1491909,1366912,1392102,1515900,1493383,
1491909,1366912,1392102,1515900,1493383,
1490451,1366912,1377759,1515900,1493383,
1490451,1366467,1370958,1515900,1493383,
1490451,1366467,1370958,1515900,1493383,
1490451,1360447,1370958,1515900,1493383,
1487613,1356383,1370958,1504187,1493383,
1487613,1352251,1356966,1504187,1493383,
1487613,1352251,1356966,1504187,1493383,
1487613,1346635,1354330,1504187,1493383,
1487613,1346635,1354330,1504187,1493383,
